level,area,mean,lower,upper
0,Mozambique,60248.8816640181,56642.9481800035,63967.6415301454
1,Cabo Delgado,4504.31597512216,3991.17157613709,5084.33515054537
2,Cabo Delgado,4504.31597512216,3991.17157613709,5084.33515054537
1,Gaza,4106.55229937913,3853.81628025544,4383.29761899192
2,Gaza,4106.55229937913,3853.81628025544,4383.29761899192
1,Inhambane,3049.42157466241,2693.93636561399,3462.89831828078
2,Inhambane,3049.42157466241,2693.93636561399,3462.89831828078
1,Manica,4563.79188023511,4157.46593163721,5005.5514837701
2,Manica,4563.79188023511,4157.46593163721,5005.5514837701
1,Maputo,9506.57291324826,8650.85006778115,10419.7669842421
2,Maputo Província,6139.32147411946,5484.11588249418,6803.35395859229
2,Cidade De Maputo,3367.25143912881,2958.24379228467,3880.00371936409
1,Nampula,10572.6364404916,9356.28681414639,11972.4590080544
2,Nampula,10572.6364404916,9356.28681414639,11972.4590080544
1,Niassa,2550.38432688894,2259.03325067236,2893.63929516245
2,Niassa,2550.38432688894,2259.03325067236,2893.63929516245
1,Sofala,5967.33651667343,5443.6440950713,6548.68362506451
2,Sofala,5967.33651667343,5443.6440950713,6548.68362506451
1,Tete,4059.33907534213,3663.3917326689,4473.72426340229
2,Tete,4059.33907534213,3663.3917326689,4473.72426340229
1,Zambézia,11368.5306619749,10560.1594851077,12297.4147920818
2,Zambézia,11368.5306619749,10560.1594851077,12297.4147920818
